       0          71.99368194         625.55751531       -4527.08079059       -3901.52327528
      10          68.60831055         596.14181574       -4497.58079022       -3901.43897448
      20          64.89174443         563.84834495       -4465.41237132       -3901.56402636
      30          64.77953782         562.87337480       -4464.45884193       -3901.58546713
      40          65.07687785         565.45698058       -4467.29673078       -3901.83975020
      50          61.95477889         538.32887135       -4440.15998060       -3901.83110925
      60          61.17560473         531.55857934       -4433.35990407       -3901.80132473
      70          66.08898965         574.25128208       -4476.05680362       -3901.80552154
      80          68.51477355         595.32906702       -4497.18783244       -3901.85876542
      90          66.90889172         581.37546136       -4483.37711146       -3902.00165010
     100          64.68929464         562.08924631       -4464.30521481       -3902.21596850
     110          63.11427415         548.40379674       -4450.24254165       -3901.83874491
     120          61.89642500         537.82183080       -4439.77485409       -3901.95302329
     130          58.55937697         508.82601597       -4410.97100587       -3902.14498990
     140          55.58853458         483.01218429       -4385.21761508       -3902.20543079
     150          57.82444851         502.44017752       -4404.77139596       -3902.33121843
     160          60.49428299         525.63853291       -4428.10427066       -3902.46573775
     170          59.00832374         512.72694192       -4415.25886111       -3902.53191920
     180          58.15325973         505.29723838       -4407.88234786       -3902.58510948
     190          58.83655239         511.23441013       -4413.94815702       -3902.71374689
     200          59.26234200         514.93412213       -4417.65526119       -3902.72113906
     210          57.92443190         503.30893927       -4406.11666239       -3902.80772312
     220          54.62171098         474.61139480       -4377.16142114       -3902.55002633
     230          54.11383283         470.19841037       -4372.47907328       -3902.28066291
     240          58.39588842         507.40545389       -4409.46098322       -3902.05552933
     250          62.82054984         545.85160822       -4447.81352381       -3901.96191559
     260          64.22535272         558.05802652       -4460.17923030       -3902.12120378
     270          62.38742480         542.08815820       -4444.17187906       -3902.08372085
     280          58.13946915         505.17741113       -4407.57637240       -3902.39896126
     290          55.29755813         480.48387214       -4382.68036577       -3902.19649363
     300          56.62733142         492.03835369       -4394.45761140       -3902.41925771
     310          58.49375542         508.25582628       -4410.76096637       -3902.50514008
     320          57.71507583         501.48983161       -4404.10198481       -3902.61215321
     330          57.46641396         499.32919335       -4401.83021399       -3902.50102064
     340          57.23595346         497.32670793       -4399.80696012       -3902.48025219
     350          56.21427754         488.44930325       -4390.69320909       -3902.24390584
     360          56.80425376         493.57564274       -4395.85697645       -3902.28133371
     370          56.18468041         488.19213195       -4390.35637764       -3902.16424569
     380          54.09907897         470.07021322       -4372.09164774       -3902.02143453
     390          55.45982997         481.89386210       -4383.87946509       -3901.98560300
     400          59.05231702         513.10920223       -4415.00195546       -3901.89275323
     410          60.52608075         525.91482565       -4427.97978627       -3902.06496062
     420          57.71496207         501.48884309       -4403.86165740       -3902.37281432
     430          56.33019355         489.45650453       -4391.88472745       -3902.42822293
     440          57.28467538         497.75005570       -4400.02972874       -3902.27967304
     450          59.11158124         513.62415269       -4415.81365847       -3902.18950578
     460          63.41386366         551.00694833       -4453.20167934       -3902.19473101
     470          63.57471252         552.40457395       -4454.42772616       -3902.02315221
     480          58.99526581         512.61348076       -4414.49784063       -3901.88435987
     490          57.56030899         500.14505301       -4401.93622623       -3901.79117322
     500          60.11214716         522.31813131       -4424.10537657       -3901.78724526
     510          61.15153721         531.34945511       -4432.99589687       -3901.64644176
     520          62.83081934         545.94084049       -4447.52615511       -3901.58531461
